name,species,family,habitat,place_of_found,diet,description,weight_kg,image
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,"Forests, Coasts, and Lakes",North America,Carnivore,The bald eagle is a powerful bird of prey known for its white head and tail feathers.,6.3,https://fakeimg.pl/500x500/cc7701
Peacock,Pavo cristatus,Phasianidae,Forests and Grasslands,India,Omnivore,The peacock is a large and colorful bird known for its extravagant tail feathers.,4.5,https://fakeimg.pl/500x500/cc7702
Hornbill,Bucerotidae,Bucerotidae,Forests and Woodlands,"Africa, Asia",Omnivore,"Hornbills are medium-sized birds known for their large, curved bills.",2.7,https://fakeimg.pl/500x500/cc7703
Hummingbird,Trochilidae,Trochilidae,Tropical and Subtropical Regions,Americas,Nectar and Insects,"Hummingbirds are small, colorful birds known for their rapid wing beats and hovering abilities.",0.0025,https://fakeimg.pl/500x500/cc7704
Penguin,Spheniscidae,Spheniscidae,Antarctica,Antarctic Region,Carnivore,Penguins are flightless birds known for their distinctive black and white plumage.,25.0,https://fakeimg.pl/500x500/cc7705
Toucan,Ramphastidae,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucans are brightly colored birds known for their large, colorful bills.",0.5,https://fakeimg.pl/500x500/cc7706
Albatross,Diomedeidae,Diomedeidae,Oceanic Regions,Southern Ocean,Carnivore,Albatrosses are large seabirds known for their long wingspans and impressive gliding abilities.,8.5,https://fakeimg.pl/500x500/cc7707
Flamingo,Phoenicopteridae,Phoenicopteridae,Saltwater and Brackish Lakes,"Africa, Americas",Omnivore,Flamingos are large wading birds known for their vibrant pink plumage and distinctive hooked bills.,2.5,https://fakeimg.pl/500x500/cc7708
Ostrich,Struthio camelus,Struthionidae,Grasslands and Deserts,Africa,Omnivore,Ostriches are flightless birds known for being the largest and fastest birds on land.,135.0,https://fakeimg.pl/500x500/cc7709
Snowy Owl,Bubo scandiacus,Strigidae,Arctic Tundra,Arctic Region,Carnivore,"Snowy owls are large, white owls known for their excellent hunting skills in snowy environments.",2.5,https://fakeimg.pl/500x500/cc7710
Toucanet,Aulacorhynchus,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucanets are small, colorful birds related to toucans and known for their vibrant plumage.",0.2,https://fakeimg.pl/500x500/cc7711
Kingfisher,Alcedinidae,Alcedinidae,"Rivers, Lakes, and Ponds",Various regions,Carnivore,Kingfishers are small to medium-sized birds known for their brightly colored plumage and impressive diving and fishing skills.,0.1,https://fakeimg.pl/500x500/cc7712
Puffin,Fratercula,Alcidae,Coastal Cliffs,North Atlantic and North Pacific,Carnivore,Puffins are small seabirds known for their distinctive appearance with colorful beaks and bright plumage.,0.4,https://fakeimg.pl/500x500/cc7713
Blue Jay,Cyanocitta cristata,Corvidae,Forests and Woodlands,North America,Omnivore,"The blue jay is a strikingly beautiful bird with its blue and white plumage, known for its intelligence and raucous calls.",0.1,https://fakeimg.pl/500x500/cc6642
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,Coastal and Lakeside Areas,North America,Carnivore,Bald eagles are large raptors known for their distinctive white head and tail feathers and powerful hunting abilities.,7.0,https://fakeimg.pl/500x500/cc7715
Woodpecker,Picidae,Picidae,Forests and Woodlands,Various regions,Insects and Nuts,Woodpeckers are medium-sized birds known for their strong beaks and drumming behavior on trees to find insects.,0.2,https://fakeimg.pl/500x500/cc7716
Emu,Dromaius novaehollandiae,Dromaiidae,Open grasslands and forests,Australia,"Herbivore (plants, seeds, fruits)","The emu is the second-largest bird in the world and is known for its long neck, strong legs, and fast running speed.",36.0,https://fakeimg.pl/500x500/cc6646
Resplendent Quetzal,Pharomachrus mocinno,Trogonidae,Cloud Forests,Central America,Frugivore,The resplendent quetzal is a magnificent and sacred bird known for its brilliant green and red plumage.,0.23,https://fakeimg.pl/500x500/cc6618
Black-browed Albatross,Thalassarche melanophris,Diomedeidae,Southern Ocean,South Atlantic and South Pacific,Carnivore,The Black-browed albatross is a large seabird with distinct black markings on its face and wings.,3.2,https://fakeimg.pl/500x500/cc6699
Swallow-tailed Toucan,Ramphastos sulfuratus,Ramphastidae,Rainforests,Central and South America,"Fruits, insects, lizards","The swallow-tailed toucan is a colorful bird with a large and vibrant bill, known for its graceful flight and acrobatic skills.",0.5,https://fakeimg.pl/500x500/cc6700
Swan,Cygnus,Anatidae,Lakes and Ponds,Various regions,Herbivore,Swans are elegant and graceful birds known for their long necks and beautiful swimming movements.,10.0,https://fakeimg.pl/500x500/cc7725
Belted Kingfisher,Megaceryle alcyon,Alcedinidae,"Rivers, streams, and lakes",North and Central America,"Carnivore (fish, insects, amphibians)",The belted kingfisher is a medium-sized bird known for its diving hunting technique and distinct blue and white plumage.,0.1,https://fakeimg.pl/500x500/cc6676
Horned Puffin,Fratercula corniculata,Alcidae,Coastal cliffs and islands,North Pacific,Carnivore,The horned puffin is a seabird known for its distinctive bright beak and unique horn-like projections above its eyes.,0.5,https://fakeimg.pl/500x500/cc6608
Roseate Spoonbill,Platalea ajaja,Threskiornithidae,"Shallow coastal waters, marshes",North and South America,"Carnivore (fish, crustaceans, insects)",The roseate spoonbill is a beautiful wading bird known for its pink plumage and distinct spoon-shaped bill.,1.2,https://fakeimg.pl/500x500/cc6674
Eagle,Accipitridae,Accipitridae,Mountainous Regions,Various regions,Carnivore,Eagles are large and powerful birds of prey known for their keen eyesight and strong hunting skills.,4.0,https://fakeimg.pl/500x500/cc7734
Rainbow Lorikeet,Trichoglossus moluccanus,Psittaculidae,"Rainforests, Woodlands, and Coastal Regions","Australia, Eastern Indonesia, Papua New Guinea",Omnivore,The rainbow lorikeet is a colorful and playful parrot species native to Australia and nearby regions.,0.15,https://fakeimg.pl/500x500/cc6637
Channel-billed Toucan,Ramphastos vitellinus,Ramphastidae,Tropical and subtropical forests,South America,"Fruits, insects, small reptiles",The channel-billed toucan is a large and colorful bird with a distinctive yellow-orange bill and is known for its loud vocalizations.,0.6,https://fakeimg.pl/500x500/cc6701
Cassowary,Casuarius,Casuariidae,Rainforests and Swamps,"Australia, New Guinea, and nearby islands","Omnivore (fruits, insects, small vertebrates)","The cassowary is a large, flightless bird known for its vibrant coloration, helmet-like casque, and powerful legs.",60.0,https://fakeimg.pl/500x500/cc6645
Pigeon,Columbidae,Columbidae,Urban Areas,Worldwide,Seeds and Grains,Pigeons are common birds found in urban areas known for their ability to navigate long distances.,0.3,https://fakeimg.pl/500x500/cc7738
Golden Pheasant,Chrysolophus pictus,Phasianidae,Forests and Mountains,China,Omnivore,The golden pheasant is a colorful and exotic bird known for its striking plumage and elegant appearance.,0.7,https://fakeimg.pl/500x500/cc6630
Swan,Anatidae,Anatidae,Lakes and Ponds,Various regions,Aquatic Plants and Insects,Swans are elegant water birds known for their long necks and graceful swimming.,10.0,https://fakeimg.pl/500x500/cc7740
Harpy Eagle,Harpia harpyja,Accipitridae,Tropical Rainforests,Central and South America,Carnivore,The harpy eagle is a powerful and majestic bird of prey found in the dense tropical rainforests.,9.5,https://fakeimg.pl/500x500/cc6636
Laysan Albatross,Phoebastria immutabilis,Diomedeidae,Tropical and Subtropical Waters,North Pacific Ocean,Carnivore,The Laysan albatross is a seabird known for its graceful gliding and long-distance flights across the ocean.,3.5,https://fakeimg.pl/500x500/cc6698
Eagle,Accipitridae,Accipitridae,Various Habitats,Worldwide,Small Animals and Fish,Eagles are powerful birds of prey known for their keen eyesight and soaring flight.,4.0,https://fakeimg.pl/500x500/cc7743
Emerald Toucanet,Aulacorhynchus prasinus,Ramphastidae,Tropical and subtropical forests,Central and South America,"Fruit, insects, small vertebrates",The emerald toucanet is a small and colorful bird known for its bright green plumage and distinctive large beak.,0.2,https://fakeimg.pl/500x500/cc6616
Kookaburra,Dacelo,Alcedinidae,Woodlands and Forests,Australia and New Guinea,Small Animals and Insects,"Kookaburras are iconic Australian birds known for their loud, laughing calls.",0.5,https://fakeimg.pl/500x500/cc7745
Crowned Crane,Balearica pavonina,Gruidae,Wetlands and grasslands,Africa,"Omnivore (plants, insects, small vertebrates)",The crowned crane is a majestic bird known for its elegant appearance and dance-like courtship displays.,3.5,https://fakeimg.pl/500x500/cc6673
Emperor Penguin,Aptenodytes forsteri,Spheniscidae,Antarctica,Antarctica,Carnivore (mainly fish and krill),"The emperor penguin is the largest and tallest of all penguin species, known for its remarkable ability to survive in the harsh Antarctic environment.",22.0,https://fakeimg.pl/500x500/cc6638
Parrot,Psittacidae,Psittacidae,Tropical and Subtropical Regions,"Central and South America, Africa, Asia, Oceania","Fruits, Seeds, and Nectar",Parrots are colorful birds known for their ability to mimic human speech and sounds.,0.4,https://fakeimg.pl/500x500/cc7748
Rhea,Rhea americana,Rheidae,Grasslands and Savannas,South America,"Omnivore (mainly plants, insects, and small vertebrates)","The rhea is a large, flightless bird native to South America, and it is known for its fast running speed and strong legs.",30.0,https://fakeimg.pl/500x500/cc6640
Pelican,Pelecanidae,Pelecanidae,Coastal and Inland Waters,Worldwide,Fish and Small Water Creatures,Pelicans are large water birds known for their long beaks and pouches for catching fish.,10.0,https://fakeimg.pl/500x500/cc7750
Golden Eagle,Aquila chrysaetos,Accipitridae,Mountains and Open Country,"North America, Europe, Asia",Carnivore,The golden eagle is a large bird of prey known for its powerful talons and keen eyesight.,4.5,https://fakeimg.pl/500x500/cc6634
Wandering Albatross,Diomedea exulans,Diomedeidae,Open Oceans,Southern Ocean,Carnivore,The wandering albatross is one of the largest seabirds with an impressive wingspan and is known for its remarkable flying abilities.,10.0,https://fakeimg.pl/500x500/cc6699
Eagle,Accipitridae,Accipitridae,Various Habitats,Worldwide,Small Animals and Fish,Eagles are large birds of prey known for their powerful beaks and keen eyesight.,4.0,https://fakeimg.pl/500x500/cc7753
Woodpecker,Picidae,Picidae,Forests and Woodlands,Worldwide,Insects and Tree Sap,Woodpeckers are birds with strong beaks used for drilling holes into trees in search of insects.,0.3,https://fakeimg.pl/500x500/cc7754
Atlantic Puffin,Fratercula arctica,Alcidae,Coastal cliffs and islands,North Atlantic,Carnivore,The Atlantic puffin is a small seabird known for its distinctive black and white plumage and colorful beak.,0.5,https://fakeimg.pl/500x500/cc6607
Cockatoo,Cacatuidae,Cacatuidae,Forests and Woodlands,"Australia, Oceania, Southeast Asia","Seeds, Nuts, and Fruits",Cockatoos are large parrots with a distinctive crest on top of their heads and are known for their vocal abilities.,0.5,https://fakeimg.pl/500x500/cc7760
Keel-billed Toucan,Ramphastos sulfuratus,Ramphastidae,Rainforests,Central and South America,"Fruits, insects, lizards","The keel-billed toucan is a colorful bird with a large and vibrant bill, known for its playful and social behavior.",0.5,https://fakeimg.pl/500x500/cc6699
Common Kestrel,Falco tinnunculus,Falconidae,"Open countryside, grasslands, farmlands","Europe, Asia, and Africa","Carnivore (small mammals, insects, birds)",The common kestrel is a small falcon known for its hovering hunting technique and striking plumage.,0.2,https://fakeimg.pl/500x500/cc6675
Snowy Owl,Bubo scandiacus,Strigidae,Arctic Tundra,Arctic,Small Mammals and Birds,"Snowy Owls are large white owls with a rounded head and yellow eyes, well adapted to their cold habitats.",2.5,https://fakeimg.pl/500x500/cc7759
